id,timezone_offset,type,unit,timestamp,start,end,value
,-25200,,kcal,2023-05-20 07:00:00+00:00,2023-05-20 07:00:00+00:00,2023-05-21 07:00:00+00:00,226.0
,-25200,,kcal,2023-05-21 07:00:00+00:00,2023-05-21 07:00:00+00:00,2023-05-22 07:00:00+00:00,244.0
,-25200,,kcal,2023-05-22 07:00:00+00:00,2023-05-22 07:00:00+00:00,2023-05-23 07:00:00+00:00,370.0
,-25200,,kcal,2023-05-23 07:00:00+00:00,2023-05-23 07:00:00+00:00,2023-05-24 07:00:00+00:00,221.0
,-25200,,kcal,2023-05-24 07:00:00+00:00,2023-05-24 07:00:00+00:00,2023-05-25 07:00:00+00:00,176.0
,-25200,,kcal,2023-05-25 07:00:00+00:00,2023-05-25 07:00:00+00:00,2023-05-26 07:00:00+00:00,183.0
,-25200,,kcal,2023-05-26 07:00:00+00:00,2023-05-26 07:00:00+00:00,2023-05-27 07:00:00+00:00,508.0
,-25200,,kcal,2023-05-27 07:00:00+00:00,2023-05-27 07:00:00+00:00,2023-05-27 23:59:59+00:00,300.0
,-25200,,kcal,2023-05-28 07:00:00+00:00,2023-05-28 07:00:00+00:00,2023-05-29 07:00:00+00:00,247.0
,-25200,,kcal,2023-05-29 07:00:00+00:00,2023-05-29 07:00:00+00:00,2023-05-30 07:00:00+00:00,401.0
,-25200,,kcal,2023-05-30 07:00:00+00:00,2023-05-30 07:00:00+00:00,2023-05-31 07:00:00+00:00,280.0
,-25200,,kcal,2023-05-31 07:00:00+00:00,2023-05-31 07:00:00+00:00,2023-06-01 07:00:00+00:00,207.0
,-25200,,kcal,2023-06-01 07:00:00+00:00,2023-06-01 07:00:00+00:00,2023-06-02 07:00:00+00:00,179.0
,-25200,,kcal,2023-06-02 07:00:00+00:00,2023-06-02 07:00:00+00:00,2023-06-03 07:00:00+00:00,397.0
,-25200,,kcal,2023-06-03 07:00:00+00:00,2023-06-03 07:00:00+00:00,2023-06-04 07:00:00+00:00,212.0
,-25200,,kcal,2023-06-04 07:00:00+00:00,2023-06-04 07:00:00+00:00,2023-06-04 23:59:59+00:00,254.0
,-25200,,kcal,2023-06-05 07:00:00+00:00,2023-06-05 07:00:00+00:00,2023-06-06 07:00:00+00:00,346.0
,-25200,,kcal,2023-06-06 07:00:00+00:00,2023-06-06 07:00:00+00:00,2023-06-07 07:00:00+00:00,501.0
,-25200,,kcal,2023-06-07 07:00:00+00:00,2023-06-07 07:00:00+00:00,2023-06-08 07:00:00+00:00,166.0
,-25200,,kcal,2023-06-08 07:00:00+00:00,2023-06-08 07:00:00+00:00,2023-06-09 07:00:00+00:00,147.0
,-25200,,kcal,2023-06-09 07:00:00+00:00,2023-06-09 07:00:00+00:00,2023-06-10 07:00:00+00:00,200.0
,-25200,,kcal,2023-06-10 07:00:00+00:00,2023-06-10 07:00:00+00:00,2023-06-11 07:00:00+00:00,194.0
,-25200,,kcal,2023-06-11 07:00:00+00:00,2023-06-11 07:00:00+00:00,2023-06-12 07:00:00+00:00,136.0
,-25200,,kcal,2023-06-12 07:00:00+00:00,2023-06-12 07:00:00+00:00,2023-06-12 23:59:59+00:00,366.0
,-25200,,kcal,2023-06-13 07:00:00+00:00,2023-06-13 07:00:00+00:00,2023-06-14 07:00:00+00:00,173.0
,-25200,,kcal,2023-06-14 07:00:00+00:00,2023-06-14 07:00:00+00:00,2023-06-15 07:00:00+00:00,284.0
,-25200,,kcal,2023-06-15 07:00:00+00:00,2023-06-15 07:00:00+00:00,2023-06-16 07:00:00+00:00,203.0
,-25200,,kcal,2023-06-16 07:00:00+00:00,2023-06-16 07:00:00+00:00,2023-06-17 07:00:00+00:00,284.0
,-25200,,kcal,2023-06-17 07:00:00+00:00,2023-06-17 07:00:00+00:00,2023-06-18 07:00:00+00:00,548.0
,-25200,,kcal,2023-06-18 07:00:00+00:00,2023-06-18 07:00:00+00:00,2023-06-19 07:00:00+00:00,340.0
,-25200,,kcal,2023-06-19 07:00:00+00:00,2023-06-19 07:00:00+00:00,2023-06-20 07:00:00+00:00,571.0
,-25200,,kcal,2023-06-20 07:00:00+00:00,2023-06-20 07:00:00+00:00,2023-06-20 23:59:59+00:00,640.0
,-25200,,kcal,2023-06-21 07:00:00+00:00,2023-06-21 07:00:00+00:00,2023-06-22 07:00:00+00:00,453.0
,-25200,,kcal,2023-06-22 07:00:00+00:00,2023-06-22 07:00:00+00:00,2023-06-23 07:00:00+00:00,194.0
,-25200,,kcal,2023-06-23 07:00:00+00:00,2023-06-23 07:00:00+00:00,2023-06-24 07:00:00+00:00,290.0
,-25200,,kcal,2023-06-24 07:00:00+00:00,2023-06-24 07:00:00+00:00,2023-06-25 07:00:00+00:00,702.0
,-25200,,kcal,2023-06-25 07:00:00+00:00,2023-06-25 07:00:00+00:00,2023-06-26 07:00:00+00:00,310.0
,-25200,,kcal,2023-06-26 07:00:00+00:00,2023-06-26 07:00:00+00:00,2023-06-27 07:00:00+00:00,673.0
,-25200,,kcal,2023-06-27 07:00:00+00:00,2023-06-27 07:00:00+00:00,2023-06-28 07:00:00+00:00,326.0
,-25200,,kcal,2023-06-28 07:00:00+00:00,2023-06-28 07:00:00+00:00,2023-06-28 23:59:59+00:00,636.0
,-25200,,kcal,2023-06-29 07:00:00+00:00,2023-06-29 07:00:00+00:00,2023-06-30 07:00:00+00:00,829.0
,-25200,,kcal,2023-06-30 07:00:00+00:00,2023-06-30 07:00:00+00:00,2023-06-30 23:59:59+00:00,368.0
