id,timezone_offset,type,unit,timestamp,start,end,value
,-25200,,m,2023-05-20 07:00:00+00:00,2023-05-20 07:00:00+00:00,2023-05-21 07:00:00+00:00,4316.0
,-25200,,m,2023-05-21 07:00:00+00:00,2023-05-21 07:00:00+00:00,2023-05-22 07:00:00+00:00,4675.0
,-25200,,m,2023-05-22 07:00:00+00:00,2023-05-22 07:00:00+00:00,2023-05-23 07:00:00+00:00,6529.0
,-25200,,m,2023-05-23 07:00:00+00:00,2023-05-23 07:00:00+00:00,2023-05-24 07:00:00+00:00,4017.0
,-25200,,m,2023-05-24 07:00:00+00:00,2023-05-24 07:00:00+00:00,2023-05-25 07:00:00+00:00,3232.0
,-25200,,m,2023-05-25 07:00:00+00:00,2023-05-25 07:00:00+00:00,2023-05-26 07:00:00+00:00,3294.0
,-25200,,m,2023-05-26 07:00:00+00:00,2023-05-26 07:00:00+00:00,2023-05-27 07:00:00+00:00,9502.0
,-25200,,m,2023-05-27 07:00:00+00:00,2023-05-27 07:00:00+00:00,2023-05-27 23:59:59+00:00,5850.0
,-25200,,m,2023-05-28 07:00:00+00:00,2023-05-28 07:00:00+00:00,2023-05-29 07:00:00+00:00,4935.0
,-25200,,m,2023-05-29 07:00:00+00:00,2023-05-29 07:00:00+00:00,2023-05-30 07:00:00+00:00,7905.0
,-25200,,m,2023-05-30 07:00:00+00:00,2023-05-30 07:00:00+00:00,2023-05-31 07:00:00+00:00,5087.0
,-25200,,m,2023-05-31 07:00:00+00:00,2023-05-31 07:00:00+00:00,2023-06-01 07:00:00+00:00,3815.0
,-25200,,m,2023-06-01 07:00:00+00:00,2023-06-01 07:00:00+00:00,2023-06-02 07:00:00+00:00,3444.0
,-25200,,m,2023-06-02 07:00:00+00:00,2023-06-02 07:00:00+00:00,2023-06-03 07:00:00+00:00,8039.0
,-25200,,m,2023-06-03 07:00:00+00:00,2023-06-03 07:00:00+00:00,2023-06-04 07:00:00+00:00,4041.0
,-25200,,m,2023-06-04 07:00:00+00:00,2023-06-04 07:00:00+00:00,2023-06-04 23:59:59+00:00,4444.0
,-25200,,m,2023-06-05 07:00:00+00:00,2023-06-05 07:00:00+00:00,2023-06-06 07:00:00+00:00,6585.0
,-25200,,m,2023-06-06 07:00:00+00:00,2023-06-06 07:00:00+00:00,2023-06-07 07:00:00+00:00,9611.0
,-25200,,m,2023-06-07 07:00:00+00:00,2023-06-07 07:00:00+00:00,2023-06-08 07:00:00+00:00,2960.0
,-25200,,m,2023-06-08 07:00:00+00:00,2023-06-08 07:00:00+00:00,2023-06-09 07:00:00+00:00,2258.0
,-25200,,m,2023-06-09 07:00:00+00:00,2023-06-09 07:00:00+00:00,2023-06-10 07:00:00+00:00,3991.0
,-25200,,m,2023-06-10 07:00:00+00:00,2023-06-10 07:00:00+00:00,2023-06-11 07:00:00+00:00,3452.0
,-25200,,m,2023-06-11 07:00:00+00:00,2023-06-11 07:00:00+00:00,2023-06-12 07:00:00+00:00,2640.0
,-25200,,m,2023-06-12 07:00:00+00:00,2023-06-12 07:00:00+00:00,2023-06-12 23:59:59+00:00,7048.0
,-25200,,m,2023-06-13 07:00:00+00:00,2023-06-13 07:00:00+00:00,2023-06-14 07:00:00+00:00,3018.0
,-25200,,m,2023-06-14 07:00:00+00:00,2023-06-14 07:00:00+00:00,2023-06-15 07:00:00+00:00,5337.0
,-25200,,m,2023-06-15 07:00:00+00:00,2023-06-15 07:00:00+00:00,2023-06-16 07:00:00+00:00,3844.0
,-25200,,m,2023-06-16 07:00:00+00:00,2023-06-16 07:00:00+00:00,2023-06-17 07:00:00+00:00,5105.0
,-25200,,m,2023-06-17 07:00:00+00:00,2023-06-17 07:00:00+00:00,2023-06-18 07:00:00+00:00,10061.0
,-25200,,m,2023-06-18 07:00:00+00:00,2023-06-18 07:00:00+00:00,2023-06-19 07:00:00+00:00,6460.0
,-25200,,m,2023-06-19 07:00:00+00:00,2023-06-19 07:00:00+00:00,2023-06-20 07:00:00+00:00,11293.0
,-25200,,m,2023-06-20 07:00:00+00:00,2023-06-20 07:00:00+00:00,2023-06-20 23:59:59+00:00,12710.0
,-25200,,m,2023-06-21 07:00:00+00:00,2023-06-21 07:00:00+00:00,2023-06-22 07:00:00+00:00,8735.0
,-25200,,m,2023-06-22 07:00:00+00:00,2023-06-22 07:00:00+00:00,2023-06-23 07:00:00+00:00,3245.0
,-25200,,m,2023-06-23 07:00:00+00:00,2023-06-23 07:00:00+00:00,2023-06-24 07:00:00+00:00,5520.0
,-25200,,m,2023-06-24 07:00:00+00:00,2023-06-24 07:00:00+00:00,2023-06-25 07:00:00+00:00,14003.0
,-25200,,m,2023-06-25 07:00:00+00:00,2023-06-25 07:00:00+00:00,2023-06-26 07:00:00+00:00,5850.0
,-25200,,m,2023-06-26 07:00:00+00:00,2023-06-26 07:00:00+00:00,2023-06-27 07:00:00+00:00,12543.0
,-25200,,m,2023-06-27 07:00:00+00:00,2023-06-27 07:00:00+00:00,2023-06-28 07:00:00+00:00,6136.0
,-25200,,m,2023-06-28 07:00:00+00:00,2023-06-28 07:00:00+00:00,2023-06-28 23:59:59+00:00,12681.0
,-25200,,m,2023-06-29 07:00:00+00:00,2023-06-29 07:00:00+00:00,2023-06-30 07:00:00+00:00,14148.0
,-25200,,m,2023-06-30 07:00:00+00:00,2023-06-30 07:00:00+00:00,2023-06-30 23:59:59+00:00,6902.0
