id,timezone_offset,type,unit,timestamp,start,end,value
,-25200,,count,2023-05-20 07:00:00+00:00,2023-05-20 07:00:00+00:00,2023-05-21 07:00:00+00:00,5168.0
,-25200,,count,2023-05-21 07:00:00+00:00,2023-05-21 07:00:00+00:00,2023-05-22 07:00:00+00:00,5643.0
,-25200,,count,2023-05-22 07:00:00+00:00,2023-05-22 07:00:00+00:00,2023-05-23 07:00:00+00:00,7084.0
,-25200,,count,2023-05-23 07:00:00+00:00,2023-05-23 07:00:00+00:00,2023-05-24 07:00:00+00:00,4408.0
,-25200,,count,2023-05-24 07:00:00+00:00,2023-05-24 07:00:00+00:00,2023-05-25 07:00:00+00:00,3680.0
,-25200,,count,2023-05-25 07:00:00+00:00,2023-05-25 07:00:00+00:00,2023-05-26 07:00:00+00:00,3854.0
,-25200,,count,2023-05-26 07:00:00+00:00,2023-05-26 07:00:00+00:00,2023-05-27 07:00:00+00:00,11678.0
,-25200,,count,2023-05-27 07:00:00+00:00,2023-05-27 07:00:00+00:00,2023-05-27 23:59:59+00:00,6971.0
,-25200,,count,2023-05-28 07:00:00+00:00,2023-05-28 07:00:00+00:00,2023-05-29 07:00:00+00:00,5484.0
,-25200,,count,2023-05-29 07:00:00+00:00,2023-05-29 07:00:00+00:00,2023-05-30 07:00:00+00:00,7840.0
,-25200,,count,2023-05-30 07:00:00+00:00,2023-05-30 07:00:00+00:00,2023-05-31 07:00:00+00:00,5780.0
,-25200,,count,2023-05-31 07:00:00+00:00,2023-05-31 07:00:00+00:00,2023-06-01 07:00:00+00:00,4096.0
,-25200,,count,2023-06-01 07:00:00+00:00,2023-06-01 07:00:00+00:00,2023-06-02 07:00:00+00:00,4199.0
,-25200,,count,2023-06-02 07:00:00+00:00,2023-06-02 07:00:00+00:00,2023-06-03 07:00:00+00:00,8722.0
,-25200,,count,2023-06-03 07:00:00+00:00,2023-06-03 07:00:00+00:00,2023-06-04 07:00:00+00:00,5070.0
,-25200,,count,2023-06-04 07:00:00+00:00,2023-06-04 07:00:00+00:00,2023-06-04 23:59:59+00:00,4896.0
,-25200,,count,2023-06-05 07:00:00+00:00,2023-06-05 07:00:00+00:00,2023-06-06 07:00:00+00:00,7131.0
,-25200,,count,2023-06-06 07:00:00+00:00,2023-06-06 07:00:00+00:00,2023-06-07 07:00:00+00:00,10364.0
,-25200,,count,2023-06-07 07:00:00+00:00,2023-06-07 07:00:00+00:00,2023-06-08 07:00:00+00:00,3266.0
,-25200,,count,2023-06-08 07:00:00+00:00,2023-06-08 07:00:00+00:00,2023-06-09 07:00:00+00:00,3155.0
,-25200,,count,2023-06-09 07:00:00+00:00,2023-06-09 07:00:00+00:00,2023-06-10 07:00:00+00:00,3842.0
,-25200,,count,2023-06-10 07:00:00+00:00,2023-06-10 07:00:00+00:00,2023-06-11 07:00:00+00:00,4002.0
,-25200,,count,2023-06-11 07:00:00+00:00,2023-06-11 07:00:00+00:00,2023-06-12 07:00:00+00:00,2602.0
,-25200,,count,2023-06-12 07:00:00+00:00,2023-06-12 07:00:00+00:00,2023-06-12 23:59:59+00:00,8087.0
,-25200,,count,2023-06-13 07:00:00+00:00,2023-06-13 07:00:00+00:00,2023-06-14 07:00:00+00:00,3741.0
,-25200,,count,2023-06-14 07:00:00+00:00,2023-06-14 07:00:00+00:00,2023-06-15 07:00:00+00:00,6354.0
,-25200,,count,2023-06-15 07:00:00+00:00,2023-06-15 07:00:00+00:00,2023-06-16 07:00:00+00:00,3677.0
,-25200,,count,2023-06-16 07:00:00+00:00,2023-06-16 07:00:00+00:00,2023-06-17 07:00:00+00:00,5217.0
,-25200,,count,2023-06-17 07:00:00+00:00,2023-06-17 07:00:00+00:00,2023-06-18 07:00:00+00:00,10484.0
,-25200,,count,2023-06-18 07:00:00+00:00,2023-06-18 07:00:00+00:00,2023-06-19 07:00:00+00:00,7306.0
,-25200,,count,2023-06-19 07:00:00+00:00,2023-06-19 07:00:00+00:00,2023-06-20 07:00:00+00:00,13049.0
,-25200,,count,2023-06-20 07:00:00+00:00,2023-06-20 07:00:00+00:00,2023-06-20 23:59:59+00:00,14782.0
,-25200,,count,2023-06-21 07:00:00+00:00,2023-06-21 07:00:00+00:00,2023-06-22 07:00:00+00:00,9700.0
,-25200,,count,2023-06-22 07:00:00+00:00,2023-06-22 07:00:00+00:00,2023-06-23 07:00:00+00:00,4222.0
,-25200,,count,2023-06-23 07:00:00+00:00,2023-06-23 07:00:00+00:00,2023-06-24 07:00:00+00:00,6669.0
,-25200,,count,2023-06-24 07:00:00+00:00,2023-06-24 07:00:00+00:00,2023-06-25 07:00:00+00:00,14519.0
,-25200,,count,2023-06-25 07:00:00+00:00,2023-06-25 07:00:00+00:00,2023-06-26 07:00:00+00:00,6597.0
,-25200,,count,2023-06-26 07:00:00+00:00,2023-06-26 07:00:00+00:00,2023-06-27 07:00:00+00:00,11525.0
,-25200,,count,2023-06-27 07:00:00+00:00,2023-06-27 07:00:00+00:00,2023-06-28 07:00:00+00:00,6708.0
,-25200,,count,2023-06-28 07:00:00+00:00,2023-06-28 07:00:00+00:00,2023-06-28 23:59:59+00:00,14960.0
,-25200,,count,2023-06-29 07:00:00+00:00,2023-06-29 07:00:00+00:00,2023-06-30 07:00:00+00:00,8764.0
,-25200,,count,2023-06-30 07:00:00+00:00,2023-06-30 07:00:00+00:00,2023-06-30 23:59:59+00:00,7046.0
