id,timezone_offset,type,unit,timestamp,start,end,value
,-25200,,m,2023-06-20 07:00:00+00:00,2023-06-20 07:00:00+00:00,2023-06-21 07:00:00+00:00,12710.0
,-25200,,m,2023-06-21 07:00:00+00:00,2023-06-21 07:00:00+00:00,2023-06-22 07:00:00+00:00,8735.0
,-25200,,m,2023-06-22 07:00:00+00:00,2023-06-22 07:00:00+00:00,2023-06-23 07:00:00+00:00,3245.0
,-25200,,m,2023-06-23 07:00:00+00:00,2023-06-23 07:00:00+00:00,2023-06-24 07:00:00+00:00,5520.0
,-25200,,m,2023-06-24 07:00:00+00:00,2023-06-24 07:00:00+00:00,2023-06-25 07:00:00+00:00,14003.0
,-25200,,m,2023-06-25 07:00:00+00:00,2023-06-25 07:00:00+00:00,2023-06-26 07:00:00+00:00,5850.0
,-25200,,m,2023-06-26 07:00:00+00:00,2023-06-26 07:00:00+00:00,2023-06-27 07:00:00+00:00,12543.0
,-25200,,m,2023-06-27 07:00:00+00:00,2023-06-27 07:00:00+00:00,2023-06-27 23:59:59+00:00,6136.0
,-25200,,m,2023-06-28 07:00:00+00:00,2023-06-28 07:00:00+00:00,2023-06-29 07:00:00+00:00,12681.0
,-25200,,m,2023-06-29 07:00:00+00:00,2023-06-29 07:00:00+00:00,2023-06-30 07:00:00+00:00,14148.0
,-25200,,m,2023-06-30 07:00:00+00:00,2023-06-30 07:00:00+00:00,2023-07-01 07:00:00+00:00,6902.0
,-25200,,m,2023-07-01 07:00:00+00:00,2023-07-01 07:00:00+00:00,2023-07-02 07:00:00+00:00,4374.0
,-25200,,m,2023-07-02 07:00:00+00:00,2023-07-02 07:00:00+00:00,2023-07-03 07:00:00+00:00,11476.0
,-25200,,m,2023-07-03 07:00:00+00:00,2023-07-03 07:00:00+00:00,2023-07-04 07:00:00+00:00,2571.0
,-25200,,m,2023-07-04 07:00:00+00:00,2023-07-04 07:00:00+00:00,2023-07-05 07:00:00+00:00,12121.0
,-25200,,m,2023-07-05 07:00:00+00:00,2023-07-05 07:00:00+00:00,2023-07-05 23:59:59+00:00,4268.0
,-25200,,m,2023-07-06 07:00:00+00:00,2023-07-06 07:00:00+00:00,2023-07-07 07:00:00+00:00,3532.0
,-25200,,m,2023-07-07 07:00:00+00:00,2023-07-07 07:00:00+00:00,2023-07-08 07:00:00+00:00,6552.0
,-25200,,m,2023-07-09 07:00:00+00:00,2023-07-09 07:00:00+00:00,2023-07-10 07:00:00+00:00,5830.0
,-25200,,m,2023-07-10 07:00:00+00:00,2023-07-10 07:00:00+00:00,2023-07-11 07:00:00+00:00,2320.0
,-25200,,m,2023-07-11 07:00:00+00:00,2023-07-11 07:00:00+00:00,2023-07-12 07:00:00+00:00,17529.0
,-25200,,m,2023-07-12 07:00:00+00:00,2023-07-12 07:00:00+00:00,2023-07-13 07:00:00+00:00,9195.0
,-25200,,m,2023-07-13 07:00:00+00:00,2023-07-13 07:00:00+00:00,2023-07-13 23:59:59+00:00,15597.0
,-25200,,m,2023-07-14 07:00:00+00:00,2023-07-14 07:00:00+00:00,2023-07-15 07:00:00+00:00,8048.0
,-25200,,m,2023-07-15 07:00:00+00:00,2023-07-15 07:00:00+00:00,2023-07-16 07:00:00+00:00,22914.0
,-25200,,m,2023-07-16 07:00:00+00:00,2023-07-16 07:00:00+00:00,2023-07-17 07:00:00+00:00,7244.0
,-25200,,m,2023-07-17 07:00:00+00:00,2023-07-17 07:00:00+00:00,2023-07-18 07:00:00+00:00,9910.0
,-25200,,m,2023-07-20 07:00:00+00:00,2023-07-20 07:00:00+00:00,2023-07-21 07:00:00+00:00,22.0
,-25200,,m,2023-07-21 07:00:00+00:00,2023-07-21 07:00:00+00:00,2023-07-21 23:59:59+00:00,11510.0
,-25200,,m,2023-07-22 07:00:00+00:00,2023-07-22 07:00:00+00:00,2023-07-23 07:00:00+00:00,5433.0
,-25200,,m,2023-07-23 07:00:00+00:00,2023-07-23 07:00:00+00:00,2023-07-24 07:00:00+00:00,6139.0
,-25200,,m,2023-07-24 07:00:00+00:00,2023-07-24 07:00:00+00:00,2023-07-25 07:00:00+00:00,15929.0
,-25200,,m,2023-07-25 07:00:00+00:00,2023-07-25 07:00:00+00:00,2023-07-26 07:00:00+00:00,9644.0
,-25200,,m,2023-07-26 07:00:00+00:00,2023-07-26 07:00:00+00:00,2023-07-27 07:00:00+00:00,18059.0
,-25200,,m,2023-07-27 07:00:00+00:00,2023-07-27 07:00:00+00:00,2023-07-28 07:00:00+00:00,16929.0
,-25200,,m,2023-07-29 07:00:00+00:00,2023-07-29 07:00:00+00:00,2023-07-29 23:59:59+00:00,1526.0
,-25200,,m,2023-07-30 07:00:00+00:00,2023-07-30 07:00:00+00:00,2023-07-30 23:59:59+00:00,14997.0
