id,timezone_offset,type,unit,timestamp,start,end,value
,-25200,,stage,2023-06-20 05:39:20+00:00,2023-06-20 05:39:20+00:00,2023-06-20 05:44:20+00:00,4.0
,-25200,,stage,2023-06-20 05:44:20+00:00,2023-06-20 05:44:20+00:00,2023-06-20 05:49:20+00:00,4.0
,-25200,,stage,2023-06-20 05:49:20+00:00,2023-06-20 05:49:20+00:00,2023-06-20 05:54:20+00:00,2.0
,-25200,,stage,2023-06-20 05:54:20+00:00,2023-06-20 05:54:20+00:00,2023-06-20 05:59:20+00:00,2.0
,-25200,,stage,2023-06-20 05:59:20+00:00,2023-06-20 05:59:20+00:00,2023-06-20 06:04:20+00:00,1.0
,-25200,,stage,2023-06-20 06:04:20+00:00,2023-06-20 06:04:20+00:00,2023-06-20 06:09:20+00:00,1.0
,-25200,,stage,2023-06-20 06:09:20+00:00,2023-06-20 06:09:20+00:00,2023-06-20 06:14:20+00:00,1.0
,-25200,,stage,2023-06-20 06:14:20+00:00,2023-06-20 06:14:20+00:00,2023-06-20 06:19:20+00:00,1.0
,-25200,,stage,2023-06-20 06:19:20+00:00,2023-06-20 06:19:20+00:00,2023-06-20 06:24:20+00:00,1.0
,-25200,,stage,2023-06-20 06:24:20+00:00,2023-06-20 06:24:20+00:00,2023-06-20 06:29:20+00:00,1.0
,-25200,,stage,2023-06-20 06:29:20+00:00,2023-06-20 06:29:20+00:00,2023-06-20 06:34:20+00:00,1.0
,-25200,,stage,2023-06-20 06:34:20+00:00,2023-06-20 06:34:20+00:00,2023-06-20 06:39:20+00:00,4.0
,-25200,,stage,2023-06-20 06:39:20+00:00,2023-06-20 06:39:20+00:00,2023-06-20 06:44:20+00:00,2.0
,-25200,,stage,2023-06-20 06:44:20+00:00,2023-06-20 06:44:20+00:00,2023-06-20 06:49:20+00:00,2.0
,-25200,,stage,2023-06-20 06:49:20+00:00,2023-06-20 06:49:20+00:00,2023-06-20 06:54:20+00:00,2.0
,-25200,,stage,2023-06-20 06:54:20+00:00,2023-06-20 06:54:20+00:00,2023-06-20 06:59:20+00:00,2.0
,-25200,,stage,2023-06-20 06:59:20+00:00,2023-06-20 06:59:20+00:00,2023-06-20 07:04:20+00:00,1.0
,-25200,,stage,2023-06-20 07:04:20+00:00,2023-06-20 07:04:20+00:00,2023-06-20 07:09:20+00:00,2.0
,-25200,,stage,2023-06-20 07:09:20+00:00,2023-06-20 07:09:20+00:00,2023-06-20 07:14:20+00:00,2.0
,-25200,,stage,2023-06-20 07:14:20+00:00,2023-06-20 07:14:20+00:00,2023-06-20 07:19:20+00:00,2.0
,-25200,,stage,2023-06-20 07:19:20+00:00,2023-06-20 07:19:20+00:00,2023-06-20 07:24:20+00:00,1.0
,-25200,,stage,2023-06-20 07:24:20+00:00,2023-06-20 07:24:20+00:00,2023-06-20 07:29:20+00:00,1.0
