id,timezone_offset,type,unit,timestamp,start,end,value
,-25200,,count,2023-06-20 07:00:00+00:00,2023-06-20 07:00:00+00:00,2023-06-21 07:00:00+00:00,14782.0
,-25200,,count,2023-06-21 07:00:00+00:00,2023-06-21 07:00:00+00:00,2023-06-22 07:00:00+00:00,9700.0
,-25200,,count,2023-06-22 07:00:00+00:00,2023-06-22 07:00:00+00:00,2023-06-23 07:00:00+00:00,4222.0
,-25200,,count,2023-06-23 07:00:00+00:00,2023-06-23 07:00:00+00:00,2023-06-24 07:00:00+00:00,6669.0
,-25200,,count,2023-06-24 07:00:00+00:00,2023-06-24 07:00:00+00:00,2023-06-25 07:00:00+00:00,14519.0
,-25200,,count,2023-06-25 07:00:00+00:00,2023-06-25 07:00:00+00:00,2023-06-26 07:00:00+00:00,6597.0
,-25200,,count,2023-06-26 07:00:00+00:00,2023-06-26 07:00:00+00:00,2023-06-27 07:00:00+00:00,11525.0
,-25200,,count,2023-06-27 07:00:00+00:00,2023-06-27 07:00:00+00:00,2023-06-27 23:59:59+00:00,6708.0
,-25200,,count,2023-06-28 07:00:00+00:00,2023-06-28 07:00:00+00:00,2023-06-29 07:00:00+00:00,14960.0
,-25200,,count,2023-06-29 07:00:00+00:00,2023-06-29 07:00:00+00:00,2023-06-30 07:00:00+00:00,8764.0
,-25200,,count,2023-06-30 07:00:00+00:00,2023-06-30 07:00:00+00:00,2023-07-01 07:00:00+00:00,7046.0
,-25200,,count,2023-07-01 07:00:00+00:00,2023-07-01 07:00:00+00:00,2023-07-02 07:00:00+00:00,5265.0
,-25200,,count,2023-07-02 07:00:00+00:00,2023-07-02 07:00:00+00:00,2023-07-03 07:00:00+00:00,11353.0
,-25200,,count,2023-07-03 07:00:00+00:00,2023-07-03 07:00:00+00:00,2023-07-04 07:00:00+00:00,3480.0
,-25200,,count,2023-07-04 07:00:00+00:00,2023-07-04 07:00:00+00:00,2023-07-05 07:00:00+00:00,13101.0
,-25200,,count,2023-07-05 07:00:00+00:00,2023-07-05 07:00:00+00:00,2023-07-05 23:59:59+00:00,5028.0
,-25200,,count,2023-07-06 07:00:00+00:00,2023-07-06 07:00:00+00:00,2023-07-07 07:00:00+00:00,4717.0
,-25200,,count,2023-07-07 07:00:00+00:00,2023-07-07 07:00:00+00:00,2023-07-08 07:00:00+00:00,8018.0
,-25200,,count,2023-07-08 07:00:00+00:00,2023-07-08 07:00:00+00:00,2023-07-09 07:00:00+00:00,14.0
,-25200,,count,2023-07-09 07:00:00+00:00,2023-07-09 07:00:00+00:00,2023-07-10 07:00:00+00:00,7344.0
,-25200,,count,2023-07-10 07:00:00+00:00,2023-07-10 07:00:00+00:00,2023-07-11 07:00:00+00:00,2565.0
,-25200,,count,2023-07-11 07:00:00+00:00,2023-07-11 07:00:00+00:00,2023-07-12 07:00:00+00:00,9731.0
,-25200,,count,2023-07-12 07:00:00+00:00,2023-07-12 07:00:00+00:00,2023-07-13 07:00:00+00:00,11374.0
,-25200,,count,2023-07-13 07:00:00+00:00,2023-07-13 07:00:00+00:00,2023-07-13 23:59:59+00:00,9104.0
,-25200,,count,2023-07-14 07:00:00+00:00,2023-07-14 07:00:00+00:00,2023-07-15 07:00:00+00:00,9130.0
,-25200,,count,2023-07-15 07:00:00+00:00,2023-07-15 07:00:00+00:00,2023-07-16 07:00:00+00:00,16706.0
,-25200,,count,2023-07-16 07:00:00+00:00,2023-07-16 07:00:00+00:00,2023-07-17 07:00:00+00:00,7877.0
,-25200,,count,2023-07-17 07:00:00+00:00,2023-07-17 07:00:00+00:00,2023-07-18 07:00:00+00:00,10839.0
,-25200,,count,2023-07-20 07:00:00+00:00,2023-07-20 07:00:00+00:00,2023-07-21 07:00:00+00:00,69.0
,-25200,,count,2023-07-21 07:00:00+00:00,2023-07-21 07:00:00+00:00,2023-07-21 23:59:59+00:00,5441.0
,-25200,,count,2023-07-22 07:00:00+00:00,2023-07-22 07:00:00+00:00,2023-07-23 07:00:00+00:00,6596.0
,-25200,,count,2023-07-23 07:00:00+00:00,2023-07-23 07:00:00+00:00,2023-07-24 07:00:00+00:00,6465.0
,-25200,,count,2023-07-24 07:00:00+00:00,2023-07-24 07:00:00+00:00,2023-07-25 07:00:00+00:00,10725.0
,-25200,,count,2023-07-25 07:00:00+00:00,2023-07-25 07:00:00+00:00,2023-07-26 07:00:00+00:00,12416.0
,-25200,,count,2023-07-26 07:00:00+00:00,2023-07-26 07:00:00+00:00,2023-07-27 07:00:00+00:00,13344.0
,-25200,,count,2023-07-27 07:00:00+00:00,2023-07-27 07:00:00+00:00,2023-07-28 07:00:00+00:00,12314.0
,-25200,,count,2023-07-29 07:00:00+00:00,2023-07-29 07:00:00+00:00,2023-07-29 23:59:59+00:00,1619.0
,-25200,,count,2023-07-30 07:00:00+00:00,2023-07-30 07:00:00+00:00,2023-07-30 23:59:59+00:00,8701.0
